Wavelength  Intensity Material
3399.3335   121       FeI
6538.1120   76        ArI
6046.8977   887       ArI
5927.1258   931       ArI
4957.5966   335       FeI
6632.0837   839       ArI
3899.7073   55        FeI
6032.1274   391       ArI
6059.3725   557       ArI
3994.7918   15        ArII
5405.7741   307       FeI
4972.1597   4         ArII
4331.1995   6         ArII
6085.8797   205       ArI
6666.3588   68        ArII
4427.3039   131       FeI
8264.5225   941       ArI
9657.7863   872       ArI
5415.1997   140       FeI
6212.5031   797       ArI
4143.8688   12        FeI
5302.2989   98        FeI
3737.1313   180       FeI
6888.1742   349       ArI
6752.8335   232       ArI
5446.8937   299       FeI
6172.2778   41        FeI
7948.1764   785       ArI
3576.6156   103       ArII
5162.2846   229       ArI
7265.1724   100       ArI
9008.4636   21        ArII
3608.8587   381       FeI
4637.2328   86        ArII
3969.2570   102       FeI
8384.7240   460       ArI
8037.2183   262       ArI
3581.1925   229       FeI
6324.4163   701       ArI
6951.4776   390       ArI
3519.9936   8         ArII
7412.3368   773       ArI
4404.7499   247       FeI
8408.2096   966       ArI
5194.9412   389       FeI
4920.5018   177       FeI
3827.8226   393       FeI
5062.0371   57        ArII
3930.2962   190       FeI
6098.8031   132       ArI
5615.6436   89        FeI
5916.5992   55        ArI
6013.6777   433       ArI
6215.9383   71        FeI
4726.8683   71        ArII
8066.6046   88        ArI
6719.2184   356       ArI
4259.3619   949       ArI
8605.7762   947       ArI
7147.0416   767       ArI
4498.5384   5         ArII
7272.9359   36        ArI
6296.8722   476       ArI
8115.3110   71        ArI
8761.6862   38        ArI
6399.9995   7         ArII
8327.0526   45        FeI
5569.6177   390       FeI
4732.0532   36        ArII
9224.4992   383       ArI
5110.3849   274       FeI
8688.6213   41        FeI
5266.5546   307       FeI
4430.1890   3         ArII
3722.5625   47        FeI
4052.9208   13        ArII
3719.9346   33        FeI
3565.3786   164       FeI
7311.7159   646       ArI
6025.1500   225       ArI
4345.1680   119       ArII
5971.6008   42        ArI
3733.3169   11        FeI
4237.2198   50        ArII
3588.4407   51        ArII
5812.7592   52        ArII
3815.8397   21        FeI
5860.3103   26        ArI
4315.0837   42        FeI
3509.7785   24        ArII
4415.1222   135       FeI
3820.4251   229       FeI
5221.2710   35        ArI
4277.5282   3         ArII
4847.8095   24        ArII
5606.7330   257       ArI
3727.6187   9         FeI
6170.1740   12        ArII
3020.6391   182       FeI
8053.3085   668       ArI
4657.9012   21        ArII
4879.8635   13        ArII
9354.2198   547       ArI
4383.5445   181       FeI
5558.7020   191       ArI
4735.9058   48        ArII
3979.3559   16        ArII
6201.1002   799       ArI
8014.7857   700       ArI
3758.2324   42        FeI
4647.4329   27        FeI
3476.7016   5         FeI
7916.4420   38        ArI
3057.4456   233       FeI
3856.3717   143       FeI
7158.8387   828       ArI
5577.6845   16        ArII
3631.4629   141       FeI
5942.6686   67        ArI
8620.4602   64        ArI
5691.6612   84        ArII
5495.8738   81        ArI
7670.0575   773       ArI
3647.8424   287       FeI
6861.2688   4         ArII
5090.4951   98        ArII
4103.9121   47        ArII
4300.1008   511       ArI
3834.2222   182       FeI
5171.5953   229       FeI
5324.1782   89        FeI
3475.4500   275       FeI
4528.6133   249       FeI
3490.5737   212       FeI
6684.2929   89        ArII
5998.9987   99        ArI
4426.0011   97        ArII
3745.5608   69        FeI
5006.1175   35        FeI
8962.1468   574       ArI
4367.8316   128       ArII
4307.9015   134       FeI
8203.4352   773       ArI
6364.8937   132       ArI
4333.5612   239       ArI
8387.7700   81        FeI
4033.8093   16        ArII
3705.5657   152       FeI
4702.3161   990       ArI
4400.9863   8         ArII
6191.5583   133       ArII
6437.6003   114       ArI
5141.7827   5         ArII
6105.6351   143       ArI
4044.4179   826       ArI
7484.3267   21        ArI
5888.5841   304       ArI
4589.8978   16        ArII
5187.7462   500       ArI
5987.3016   814       ArI
4337.0708   138       ArII
6614.3475   16        ArII
5421.3517   25        ArI
5882.6242   392       ArI
3748.2617   71        FeI
4294.1243   224       FeI
5650.7043   991       ArI
4118.5442   10        FeI
5802.0798   386       ArI
6145.4411   996       ArI
8424.6475   339       ArI
4628.4409   342       ArI
3443.8762   31        FeI
4325.7615   182       FeI
4379.6668   20        ArII
5009.3344   74        ArII
6384.7169   358       FeI
5232.9394   61        FeI
3859.9114   205       FeI
3024.0325   6         FeI
5524.9570   26        ArI
4530.5523   15        FeI
4216.1828   75        FeI
7471.1641   800       ArI
7514.6518   155       ArI
3925.7188   21        ArII
6052.7229   76        ArI
5269.5366   37        FeI
3541.0832   61        FeI
5949.2583   405       ArI
5439.9891   873       ArI
5145.3083   35        ArII
4466.5508   288       FeI
3734.8636   44        FeI
5968.3199   92        ArI
6879.5824   836       ArI
6660.6761   20        ArI
5424.0686   399       FeI
4598.7627   34        ArII
6766.6117   20        ArI
